AGE,LEAVES_USED,LEAVES_REMAINING,RATINGS,PAST_EXP,TENURE,SEX_M,DESIGNATION_Associate,DESIGNATION_Director,DESIGNATION_Manager,DESIGNATION_Senior Analyst,DESIGNATION_Senior Manager,UNIT_IT,UNIT_Management,UNIT_Marketing,UNIT_Operations,UNIT_Web,SALARY
21.0,24.0,6.0,2.0,0.0,2.1218343600273784,0,0,0,0,0,0,0,0,0,0,0,44570
24.0,22.0,13.0,3.481825525040388,7.0,2.565366187542779,0,1,0,0,0,0,0,0,0,0,1,89207
21.0,23.0,7.0,3.0,0.0,1.9274469541409993,0,0,0,0,0,0,0,0,0,0,0,40955
22.0,22.0,8.0,3.0,0.0,3.24435318275154,0,0,0,0,0,0,1,0,0,0,0,45550
24.0,27.0,3.0,3.481825525040388,3.0,1.6125941136208077,1,0,0,0,0,0,0,0,0,1,0,43161
22.0,20.0,10.0,4.0,0.0,3.36208076659822,0,0,0,0,0,0,0,0,1,0,0,48736
22.0,19.0,11.0,5.0,0.0,2.8281998631074607,1,0,0,0,0,0,0,0,1,0,0,40339
24.0,29.0,1.0,2.0,2.0,2.5708418891170433,1,0,0,0,0,0,0,0,1,0,0,40058
28.0,20.0,10.0,3.0,1.0,2.00684462696783,0,0,0,0,1,0,0,0,0,1,0,63478
22.0,15.0,15.0,3.0,0.0,1.6372347707049966,0,0,0,0,0,0,0,0,0,0,0,43110
24.0,22.0,8.0,4.0,1.0,2.3107460643394937,0,0,0,0,0,0,0,0,1,0,0,41590
36.0,22.0,11.0,2.0,9.0,6.412046543463381,1,0,0,0,0,1,0,0,0,0,0,160613
24.0,15.0,15.0,5.0,1.0,2.915811088295688,1,0,0,0,0,0,0,0,0,0,0,44828
21.0,23.0,7.0,2.0,0.0,3.277207392197125,1,0,0,0,0,0,0,0,0,0,1,45830
24.0,30.0,0.0,4.0,1.0,2.9295003422313486,1,0,0,0,0,0,0,1,0,0,0,43457
21.0,16.0,8.0,5.0,0.0,1.8836413415468858,0,0,0,0,0,0,1,0,0,0,0,44812
25.0,27.0,3.0,3.0,2.0,2.7898699520876113,1,0,0,0,0,0,0,0,0,0,0,47636
24.0,27.0,3.0,5.0,1.0,2.0670773442847366,1,0,0,0,0,0,0,0,0,0,1,48651
23.0,21.0,9.0,3.0,0.0,3.405886379192334,1,0,0,0,0,0,0,1,0,0,0,40411
24.0,22.0,12.0,5.0,0.0,2.9952087611225187,1,0,0,0,0,0,0,0,0,0,1,44665
25.0,23.0,7.0,3.0,1.0,3.02258726899384,1,0,0,0,0,0,0,0,1,0,0,46941
22.0,28.0,2.0,5.0,0.0,2.7214236824093088,1,0,0,0,0,0,0,0,1,0,0,47734
23.0,15.0,15.0,5.0,1.0,1.9739904175222451,0,0,0,0,0,0,0,0,0,1,0,40541
25.0,28.0,8.0,2.0,2.0,2.5790554414784395,0,0,0,0,0,0,0,0,0,0,1,43920
21.0,28.0,2.0,2.0,0.0,3.383983572895277,1,0,0,0,0,0,0,1,0,0,0,45832
23.0,17.0,13.0,2.0,0.0,2.439425051334702,0,0,0,0,0,0,0,0,1,0,0,48102
21.0,30.0,0.0,5.0,0.0,1.8151950718685832,1,0,0,0,0,0,0,1,0,0,0,48662
25.0,15.0,15.0,2.0,1.0,3.373032169746749,1,0,0,0,0,0,0,0,0,1,0,49685
25.0,25.0,5.0,3.0,0.0,1.5277207392197125,1,0,0,0,1,0,0,0,0,1,0,57488
21.0,29.0,1.0,2.0,0.0,3.3018480492813143,0,0,0,0,0,0,0,0,1,0,0,45410
21.0,22.0,8.0,5.0,0.0,3.1512662559890487,1,0,0,0,0,0,0,1,0,0,0,43030
22.0,30.0,0.0,5.0,0.0,1.648186173853525,0,0,0,0,0,0,0,1,0,0,0,42388
26.0,28.0,2.0,5.0,3.0,2.11088295687885,1,0,0,0,1,0,0,0,0,1,0,68295
