AGE,LEAVES_USED,LEAVES_REMAINING,RATINGS,PAST_EXP,TENURE,SEX_M,DESIGNATION_Associate,DESIGNATION_Director,DESIGNATION_Manager,DESIGNATION_Senior Analyst,DESIGNATION_Senior Manager,UNIT_IT,UNIT_Management,UNIT_Marketing,UNIT_Operations,UNIT_Web,SALARY
21.0,15.0,15.0,5.0,0.0,2.6365503080082138,0,0,0,0,0,0,1,0,0,0,0,40902
27.0,15.0,15.0,2.0,4.0,1.4209445585215605,1,0,0,0,1,0,0,0,0,0,0,58341
24.0,30.0,0.0,2.0,2.0,1.7659137577002053,0,0,0,0,0,0,0,0,0,0,0,41685
45.0,21.0,9.0,4.0,17.0,6.5571526351813825,0,0,1,0,0,0,0,0,0,0,1,319141
22.0,15.0,15.0,5.0,0.0,2.951403148528405,1,0,0,0,0,0,0,0,0,0,0,44638
39.0,21.0,9.0,3.0,13.0,1.8973305954825461,0,0,1,0,0,0,0,1,0,0,0,368887
21.0,17.0,13.0,4.0,0.0,1.5195071868583163,0,0,0,0,0,0,0,0,0,0,0,42047
22.0,26.0,4.0,4.0,0.0,3.353867214236824,0,0,0,0,0,0,0,0,1,0,0,49537
21.0,24.0,6.0,5.0,0.0,1.8179329226557153,0,0,0,0,0,0,0,1,0,0,0,49576
25.0,23.0,7.0,3.0,0.0,4.1971252566735116,0,0,0,0,1,0,0,0,0,1,0,59398
22.0,27.0,3.0,5.0,0.0,2.5763175906913074,0,0,0,0,0,0,0,0,0,0,1,44744
23.0,18.0,12.0,3.0,1.0,1.727583846680356,1,0,0,0,0,0,0,0,0,0,1,48583
22.0,28.0,2.0,4.0,0.0,3.077344284736482,0,0,0,0,0,0,0,1,0,0,0,45221
21.0,15.0,15.0,2.0,0.0,2.21492128678987,0,0,0,0,0,0,0,0,0,1,0,49048
23.0,18.0,12.0,2.0,0.0,3.263518138261465,0,0,0,0,0,0,0,0,1,0,0,43676
23.0,26.0,4.0,4.0,1.0,1.9000684462696784,1,0,0,0,0,0,0,0,0,0,1,42255
25.0,30.0,0.0,2.0,2.0,2.8008213552361396,1,0,0,0,0,0,0,0,0,1,0,40935
22.0,29.0,1.0,3.0,0.0,2.3983572895277208,0,0,0,0,0,0,0,0,0,0,0,42662
23.0,23.0,7.0,4.0,0.0,2.1601642710472277,1,0,0,0,0,0,0,1,0,0,0,42081
24.0,22.0,8.0,4.0,1.0,2.861054072553046,0,0,0,0,0,0,1,0,0,0,0,46118
23.0,15.0,15.0,5.0,0.0,2.3600273785078714,0,0,0,0,0,0,0,0,1,0,0,40718
24.0,26.0,4.0,5.0,1.0,2.42299794661191,0,0,0,0,0,0,0,0,0,1,0,46776
25.0,27.0,3.0,3.0,3.0,1.4510609171800137,1,0,0,0,0,0,0,1,0,0,0,44632
34.0,20.0,10.0,5.0,10.0,1.7084188911704312,1,0,0,1,0,0,0,0,0,0,0,147110
23.0,15.0,15.0,2.0,0.0,2.0670773442847366,0,0,0,0,0,0,0,0,1,0,0,48014
25.0,30.0,0.0,2.0,3.0,1.462012320328542,1,0,0,0,0,0,0,0,1,0,0,49619
21.0,18.0,12.0,3.0,0.0,1.73305954825462,1,0,0,0,0,0,0,0,0,0,0,41124
22.0,28.0,2.0,2.0,0.0,2.869267624914442,0,0,0,0,0,0,0,0,0,0,0,43189
31.0,18.0,12.0,2.0,5.0,4.15605749486653,0,1,0,0,0,0,0,0,1,0,0,99603
39.0,20.0,10.0,3.0,13.0,3.5455167693360714,0,0,1,0,0,0,0,0,1,0,0,366063
23.0,30.0,0.0,5.0,1.0,1.4428473648186173,1,0,0,0,0,0,0,0,0,0,1,45740
40.0,16.0,14.0,4.0,15.0,3.8494182067077345,1,0,1,0,0,0,1,0,0,0,0,232682
22.0,16.0,14.0,4.0,0.0,2.3545516769336072,0,0,0,0,0,0,1,0,0,0,0,44997
23.0,20.0,10.0,3.0,0.0,3.4086242299794662,0,0,0,0,0,0,0,0,1,0,0,49432
24.0,25.0,5.0,2.0,1.0,2.8829568788501025,0,0,0,0,0,0,1,0,0,0,0,49110
24.0,28.0,2.0,3.0,2.0,1.7522245037645447,0,0,0,0,0,0,0,0,1,0,0,47248
25.0,26.0,4.0,3.0,0.0,4.413415468856948,0,0,0,0,1,0,1,0,0,0,0,67321
25.0,29.0,1.0,5.0,1.0,3.3100616016427105,0,0,0,0,0,0,1,0,0,0,0,46102
21.0,17.0,13.0,4.0,0.0,2.5023956194387407,0,0,0,0,0,0,0,0,0,0,0,42943
21.0,30.0,0.0,2.0,0.0,2.5544147843942504,0,0,0,0,0,0,0,0,1,0,0,41476
21.0,30.0,0.0,5.0,0.0,1.486652977412731,0,0,0,0,0,0,0,0,0,0,0,48098
33.0,20.0,10.0,5.0,7.0,5.672826830937714,1,0,0,1,0,0,0,1,0,0,0,120184
21.0,19.0,11.0,3.0,0.0,3.080082135523614,1,0,0,0,0,0,0,0,1,0,0,47216
21.0,24.0,6.0,2.0,0.0,1.5550992470910336,0,0,0,0,0,0,0,0,0,1,0,47334
23.0,22.0,8.0,5.0,0.0,2.8227241615331966,1,0,0,0,0,0,0,0,0,0,0,41320
22.0,25.0,5.0,5.0,0.0,2.0123203285420943,0,0,0,0,0,0,0,0,0,0,0,42819
24.0,26.0,4.0,4.0,0.0,3.3374401095140316,0,0,0,0,0,0,1,0,0,0,0,45499
26.0,21.0,9.0,4.0,1.0,3.808350444900753,0,0,0,0,1,0,0,0,0,1,0,50809
28.0,24.0,6.0,3.0,3.0,2.565366187542779,0,0,0,0,1,0,0,0,0,0,1,61374
28.0,21.0,9.0,5.0,2.0,4.232717316906228,1,0,0,0,1,0,1,0,0,0,0,67796
23.0,28.0,2.0,2.0,0.0,3.479808350444901,1,0,0,0,0,0,0,1,0,0,0,49611
23.0,30.0,0.0,4.0,0.0,3.1266255989048597,0,0,0,0,0,0,0,0,1,0,0,45579
28.0,28.0,2.0,4.0,3.0,1.949349760438056,0,0,0,0,1,0,0,0,0,0,0,69851
23.0,21.0,9.0,4.0,0.0,2.7898699520876113,1,0,0,0,0,0,0,0,0,0,1,42213
22.0,19.0,11.0,5.0,0.0,1.7084188911704312,0,0,0,0,0,0,0,1,0,0,0,43064
35.0,18.0,12.0,2.0,9.0,5.177275838466803,0,0,0,0,0,1,1,0,0,0,0,176567
25.0,15.0,15.0,2.0,2.0,2.516084873374401,0,0,0,0,0,0,0,0,0,0,0,47365
25.0,18.0,12.0,4.0,2.0,2.7652292950034223,0,0,0,0,0,0,1,0,0,0,0,47609
23.0,23.0,7.0,2.0,0.0,3.375770020533881,0,0,0,0,0,0,0,1,0,0,0,48511
